original_judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
2009,2759,180561924.70,65444.69905762958,3180.00,7331.27,20578.82,53768.89,595196.06,32520620.87,0,148,20.580094043279743,20.58009404327974,0.9443358536596282,0.918328247749344,0.8050516766561694,0.18010785454371048,35200244.48,148041303.83,92845708.24,61449119.36
2010,2734,153451811.65,56127.21713606438,3363.60,7154.82,18939.07,39919.94,319347.81,39417363.00,0,127,16.68665035559055,16.68665035559055,0.9364172353190983,0.9126329797227911,0.837454563606646,0.2568712781958218,24942891.69,114034448.65,55762444.07,39469201.83
2011,2767,100594085.80,36354.928008673654,4424.72,8060.20,21519.95,50410.00,416372.16,11988733.07,0,125,8.216322842727596,8.216322842727596,0.8776526191165008,0.8343184402198723,0.6740019635428706,0.11917930338206822,32793474.45,88605352.73,59531094.54,46185411.82
2012,2314,163167587.73,70513.2185522904,3840.07,8601.25,22480.06,59433.05,571091.57,32461026.73,0,97,18.362482598569922,18.362482598569922,0.9388640260067662,0.9139936233952192,0.8278704621381363,0.1989428610277341,28085961.47,130706561.00,65623694.43,44175224.86
2013,2301,236958874.83,102980.82348109517,4106.00,8895.60,22950.00,63146.29,553074.67,144439820.00,0,87,25.080570745517576,25.08057074551758,0.9576845685683069,0.9404134716619932,0.8695261098273674,0.6095564899336419,30916946.21,92519054.83,56334388.00,43445967.44
2014,1812,105055022.69,57977.38559050773,3423.38,7857.37,24399.54,66701.98,536234.67,31111795.93,0,87,16.93571429128748,16.93571429128748,0.9301462870399386,0.8956632062957675,0.7813612376461236,0.2961476294361076,22969100.14,73943226.76,36715994.03,29720413.41
2015,1749,542358427.82,310096.29949685535,3974.64,8787.42,21982.28,50696.59,267891.88,505093892.18,0,67,78.01871351791743,78.01871351791743,0.9862881469180964,0.9813241670997658,0.9667458620814762,0.9312916814259083,18035661.96,37264535.64,25094676.54,20996443.55
2016,1779,296615215.41,166731.4308094435,3157.38,7646.15,20639.17,64507.15,719171.37,213254195.73,0,58,52.80689394670375,52.80689394670377,0.9773504288014568,0.9666382981860128,0.9142270700279717,0.718959057562933,25441556.10,83361019.68,44880028.21,33615547.11
2017,1803,80376176.69,44579.132939545205,3600.00,8041.28,18935.89,58161.83,449738.27,21823329.30,0,51,12.383092483207001,12.383092483207001,0.910573394431011,0.8742308716799454,0.7366092075808589,0.2715148965615722,21170344.87,58552847.39,34234595.75,26882901.56
2018,1798,84545546.35,47021.994632925474,3306.80,7986.01,20796.36,50067.49,645468.08,21302406.36,0,54,14.219787901574172,14.21978790157417,0.9168109337080417,0.8846145204430393,0.6982481457463549,0.2519636725962207,25511775.38,63243139.99,42071289.81,32243921.85
2019,2181,75644865.02,34683.56947271893,3771.51,8190.99,16011.33,43246.27,472345.29,13958579.44,0,65,9.19620244218335,9.196202442183353,0.8842920269910478,0.8493736919619399,0.6730030972563695,0.18452778567731523,24735636.57,61686285.58,41181580.39,33080107.65
2020,1011,249748640.63,247031.29636993076,4715.00,10057.50,27268.72,73584.15,354932.71,179047998.64,0,20,52.39263973911575,52.39263973911575,0.9791532376838308,0.9701925917145282,0.9456918770577254,0.7169128055646066,13563379.88,70700641.99,17975426.41,13918409.88
2021,1272,65194608.04,51253.62267295597,5600.78,10120.00,19674.61,37483.93,372479.87,27543121.55,0,36,9.151157994592891,9.151157994592891,0.8945070096014647,0.8698429797324079,0.783650636393948,0.4224754527721216,14104811.96,37651486.49,21234500.72,15742482.63
2022,1113,79736241.02,71640.8275112309,5472.06,10537.10,20819.28,48619.86,1617375.58,11453770.00,0,15,13.09211293575562,13.09211293575562,0.9225328371267132,0.9015967820952089,0.7300777877828283,0.14364572311763588,21522582.57,68282471.02,41106500.45,25099535.96
2023,1240,69246616.64,55844.04567741935,6556.88,14121.53,41144.72,103083.52,617320.60,12721056.99,0,26,8.516862543987285,8.516862543987285,0.8685236223549881,0.8090644299816581,0.6553628500859562,0.1837065492475157,23864956.60,56525559.65,33103616.85,26223917.98
2024,1410,61981522.23,43958.52640425532,6226.85,12398.71,27441.74,64530.52,502855.37,12000000.00,0,28,7.059512659571904,7.059512659571905,0.8552843372139942,0.8112642008598827,0.6251610105058887,0.19360608723791262,23233091.16,49981522.23,31618912.99,26402094.97
2025,1562,87779775.34,56197.03927016645,6854.94,12755.90,36028.35,102012.16,1230575.64,10368075.42,0,30,8.198035179033873,8.198035179033873,0.8733794711031212,0.8223194325846858,0.6406458655445448,0.11811462697234103,31544025.19,77411699.92,53452330.98,40960181.99
2026,736,46493430.14,63170.421385869566,6446.71,12651.25,30092.89,79913.56,724561.26,17402883.21,0,15,9.798861959956252,9.798861959956252,0.8947320798817706,0.8546625876031784,0.7066463816730558,0.3743084379362164,13639015.96,29090546.93,16262138.76,12374140.41
