renewal_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
2007,234,8303211.23,35483.80867521367,8472.66,21473.10,85077.67,163509.99,401865.33,769792.00,0,11,4.188036422471063,4.188036422471063,0.6716575690439227,0.5041404914373111,0.19971256108824778,0.09271015498421807,6644955.65,7533419.23,5923922.63,4519439.57
2008,264,34379057.35,130223.70208333334,6951.74,13930.56,48964.15,252755.34,2353296.30,14883282.00,0,24,18.732533449659126,18.732533449659126,0.9389169889499602,0.9007755362437242,0.6023229909763653,0.43291710556455965,13671760.70,19495775.35,9726917.64,4577739.31
2009,202,68742641.53,340310.10658415843,10828.06,20641.24,83305.43,252640.23,4118437.94,31146984.33,0,16,31.42853905354777,31.428539053547766,0.9623735567555808,0.9398445407688423,0.8237964228547444,0.4530955406537168,12112699.34,37595657.20,8706187.47,4388263.94
2010,237,22562832.24,95201.82379746836,9114.85,16462.02,82931.32,208060.87,929350.02,11803853.80,0,10,10.444694514717012,10.44469451471701,0.8902055657884907,0.8141375659140212,0.6172888816373171,0.5231547916698955,8635046.76,10758978.44,7039788.39,4702893.45
2011,200,16874427.97,84372.13985,7922.63,19915.60,64246.02,259923.64,1862449.14,5400901.00,0,15,10.649511570021572,10.64951157002157,0.8754539031642209,0.7799759365709628,0.4487277028567624,0.3200642421539816,9302404.67,11473526.97,5612984.35,3712780.21
2012,245,10147079.48,41416.65093877551,7532.17,16593.87,73641.09,179312.66,599509.41,1925458.00,0,18,5.498634648285355,5.498634648285357,0.7744967914649664,0.6458599435352013,0.33354744453031526,0.18975489487345573,6762547.05,8221621.48,5732676.53,4218588.14
2013,327,109102157.43,333645.7413761468,10754.94,23009.88,82491.25,268610.71,1964223.75,67351100.58,0,41,31.022557204051978,31.02255720405198,0.9611271485376345,0.9397141481439539,0.852435982575968,0.6173214367755513,16099552.66,41751056.85,14234899.66,9146490.22
2014,330,15863445.47,48071.04687878788,12423.54,22284.78,58549.48,121015.89,908259.63,1816938.50,0,23,3.869351801401845,3.8693518014018453,0.7335508280345858,0.646562737546322,0.3737711748190603,0.1145361834184185,9934146.82,14046506.97,9043594.87,6764696.97
2015,387,223421502.51,577316.5439534883,14232.16,23518.96,53135.36,143269.21,3503786.38,139202362.06,0,37,40.564225244340165,40.564225244340165,0.9780402590848193,0.9700344190027084,0.9042656454293487,0.6230481869298571,21389113.34,84219140.45,17886289.27,9510132.93
2016,486,20635725.59,42460.34072016461,10827.25,19485.32,34688.52,62059.28,606853.97,4078997.61,0,28,3.921618205930833,3.921618205930833,0.7560079340054842,0.7020198464463105,0.5347431633490722,0.19766678870631366,9600912.41,16556727.98,9600912.41,7874240.07
2017,502,29486110.93,58737.272768924304,11254.24,23157.57,53247.72,122125.07,699960.66,10082761.58,0,54,5.2191238829920374,5.219123882992037,0.7941294681278607,0.7272966384380349,0.5354979945468177,0.34194952341922835,13696357.66,19403349.35,14396398.65,11460022.21
2018,670,84463528.63,126064.96810447761,12244.55,22841.17,46819.39,145487.55,695473.49,35404535.66,0,71,10.295598295117225,10.295598295117223,0.9060983990528788,0.8739696759931589,0.7808194047741385,0.41916950705543826,18512766.48,49058992.97,21306121.56,16848602.92
2019,659,50317607.27,76354.48751138088,10519.65,20751.19,45207.78,121620.29,1499122.48,14000029.93,0,66,7.258272614714452,7.2582726147144525,0.8582144732813325,0.808529703761488,0.5567646529707492,0.2782332207268328,22302542.12,36317577.34,25556681.04,18788697.45
2020,458,32980478.02,72009.77733624454,10092.94,20984.61,51470.27,170489.81,1381876.82,5009778.00,0,46,7.134668128042428,7.134668128042429,0.8416182022336862,0.7737580229893829,0.4808819135484441,0.1519013155892396,17120762.64,27970700.02,17120762.64,12637149.01
2021,539,103610320.71,192226.9400927644,10846.49,20519.86,54708.10,235691.01,2726315.18,39847176.40,0,55,17.722501942357795,17.72250194235779,0.9405084756251982,0.9136862266353659,0.8048658947153645,0.3845869419855404,20217907.23,63763144.31,23933080.73,16575205.05
2022,743,98156623.06,132108.51017496636,13248.80,24728.29,58866.31,108060.86,923634.62,39125347.19,0,177,9.971356664374612,9.97135666437461,0.8972209495855082,0.8679124278544633,0.781853042489948,0.39860119440013664,21412568.68,59031275.87,27555924.16,20092018.96
2023,442,39453492.77,89261.2958597285,12581.32,25849.47,54966.00,121775.58,1413994.48,9523287.67,0,78,7.094748075697026,7.0947480756970265,0.8486521932339427,0.8042532681448066,0.5883633850955498,0.24138009087097612,16240502.21,29930205.10,16240502.21,12313285.41
2024,219,23203532.65,105952.20388127853,11689.18,42465.36,243811.92,565139.24,1713582.09,3168963.92,0,32,9.064126301526585,9.064126301526585,0.7959503024208686,0.6166395800942837,0.29160079338177847,0.13657247660519486,16437364.12,20034568.73,13720833.24,9524962.02
2025,203,91400897.41,450250.72615763545,8665.80,39474.89,298234.26,2216083.22,6523171.22,23939842.57,0,25,51.95720258460101,51.95720258460101,0.9404125349495297,0.8524840453204912,0.5669756765903509,0.261921307649883,39578811.76,67461054.84,30268657.62,15702024.98
2026,118,30750584.40,260598.17288135595,7721.77,17158.57,122921.23,907880.73,7118548.97,7684609.24,0,9,33.74850233578,33.748502335779996,0.9488455806387862,0.8704478588706107,0.48670175159337786,0.24990124220208318,15784221.11,23065975.16,5063765.90,1897273.06
