judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
2009,5996,338298311.80,56420.66574382922,4569.78,10508.07,29847.80,76309.80,575129.05,32520620.87,0,199,12.34647307831651,12.34647307831651,0.9048039317174033,0.8619758874303669,0.7221790522100974,0.09613001228698416,93986357.62,305777690.93,216411138.13,178354250.60
2010,5680,386399773.75,68028.12918133802,4988.35,11191.63,27873.20,64926.61,507308.41,88650000.00,0,164,13.637400980552291,13.637400980552293,0.918287844364971,0.8871345949642911,0.783673306382209,0.22942560017479824,83588585.47,297749773.75,200284627.28,156731459.07
2011,4471,208374638.63,46605.82389398345,5119.00,10933.43,27831.36,73843.52,582276.61,25000000.00,0,171,9.104478197691629,9.104478197691629,0.8797732493996838,0.8327062746733844,0.6613881105498333,0.11997621286528636,70558130.10,183374638.63,141789676.20,117743494.69
2012,4197,217047676.71,51714.9575196569,5195.33,10892.09,25455.80,61309.45,513569.43,32461026.73,0,136,9.954123707186435,9.954123707186435,0.892089101182621,0.8559500305466319,0.7188819562370887,0.1495571259828391,61016018.28,184586649.98,129045433.86,103636644.53
2013,4802,395751498.18,82413.8896668055,5394.31,11262.58,25941.27,68554.60,661497.67,144439820.00,0,169,15.277929831026672,15.277929831026674,0.9290021642641504,0.904670729527243,0.8163905167657753,0.3649760535696173,72663728.07,251311678.18,151334689.34,127691634.45
2014,3426,143413314.97,41860.27874197315,5085.00,11678.78,34885.77,83100.02,602800.11,27098192.97,0,129,8.232109880427364,8.232109880427364,0.8565168893536526,0.7942740914525839,0.6071637052543895,0.1889517230367944,56337955.27,116315122.00,94063872.61,84291491.59
2015,2869,873690713.28,304527.9586197281,5360.00,14634.95,38151.96,101235.42,1185075.73,505093892.18,0,131,56.81491765293435,56.81491765293435,0.977140838174848,0.9670551273208104,0.9243610159573471,0.5781152122858009,66085077.92,368596821.10,138762333.76,111899773.03
2016,3001,474012465.09,157951.5045284905,5162.19,13458.60,44993.36,149259.81,1386800.18,213254195.73,0,90,30.597770428537213,30.59777042853721,0.9567775062917175,0.9321542422436214,0.8165778086584875,0.44989153542514915,86944405.07,260758269.36,184165413.90,138740108.99
2017,3239,389115603.65,120134.48707934548,5427.62,13169.12,43013.86,123015.78,1374927.90,41359724.00,0,119,22.13391635364036,22.133916353640355,0.9430153721618818,0.9133927758129368,0.7893723079948249,0.1062916100306326,81958521.52,347755879.65,233624277.27,161796067.95
2018,3454,704156230.00,203866.88766647366,5442.91,13962.92,42144.81,188558.14,2590790.22,66600291.84,0,137,37.45549488535979,37.45549488535979,0.965790465874313,0.9438661620021455,0.8062478601375151,0.09458169792802941,136431776.36,637555938.16,479904994.79,367015415.47
2019,4234,395418130.89,93391.15042276807,5125.00,11478.13,29439.58,80853.22,876932.19,61978014.72,0,131,18.222663497125478,18.222663497125478,0.9366910952877778,0.9119370044777059,0.7916961496818329,0.15674044733482756,82367119.15,333440116.17,242931783.01,181166865.12
2020,2496,382382969.32,153198.30501602564,6438.12,14034.49,42910.64,120748.22,1000055.07,179047998.64,0,81,23.795503192861524,23.795503192861524,0.9522584395888126,0.9297883364477662,0.8381510372440036,0.4682426075575619,61888286.96,203334970.68,113699890.56,88321571.45
2021,2600,244120468.81,93892.48800384616,7162.87,14647.18,38282.06,102009.52,1114219.76,39847176.40,0,88,13.108221704965489,13.108221704965489,0.9176221073635091,0.8856520862585836,0.7459432049171149,0.16322751055755683,62020463.92,204273292.41,138231330.58,105720421.05
2022,3058,267153160.68,87362.05385219098,7333.44,15172.13,36977.30,91955.28,1304473.39,39125347.19,0,202,11.912834065894176,11.912834065894176,0.9097688855387567,0.8764266134603457,0.717572538397265,0.14645287029512227,75451389.03,228027813.49,173124027.65,136378191.01
2023,2815,520281799.16,184824.79543872114,7385.98,16546.58,49678.52,122527.14,1045350.78,325000000.00,0,115,25.0237335382334,25.023733538233405,0.95295061480236,0.9323327597143691,0.8561425609528523,0.6246614825364171,74846407.21,195281799.16,141441419.79,112930119.11
2024,2818,245300992.29,87047.90358055358,6960.32,15974.39,49303.15,168473.30,1717040.77,13773947.07,0,60,12.506307695702723,12.506307695702722,0.9055586161567093,0.8525760028021125,0.6123441367592195,0.056151208119517716,95092367.92,231527045.22,189108337.79,150553137.89
2025,2629,333118804.48,126709.32083682009,7562.03,16838.13,66009.55,244229.19,2696702.19,23939842.57,0,64,16.75599287979816,16.75599287979816,0.9271067030937971,0.8775116758908463,0.5050355498922328,0.07186577955984864,164881965.88,309178961.91,260087786.91,227946820.67
2026,1447,170272180.50,117672.55044920526,7061.49,15692.32,51820.64,159750.26,2093979.99,31921776.70,0,32,16.663983160665136,16.663983160665136,0.9316276804830135,0.8972514145374441,0.6673217412048118,0.18747499800767511,56645852.53,138350403.80,97640075.92,68555518.21
