initial_judgment_year,case_model,judgment_count,total_amount,mean_amount,median_amount,p90_amount,p99_amount,max_amount
2022,writ_or_mandate,72,32471811.65,450997.38402777776,29434.19,721458.62,6822899.78,8163980.44
2023,civil_general,1403,58507393.63,41701.634803991445,7275.56,36270.84,910894.73,5800000.00
2023,small_claims,413,1638140.97,3966.4430266343825,3075.00,9115.00,10235.24,14920.00
2023,unlawful_detainer,30,1348267.97,44942.265666666666,14606.71,163604.70,251327.08,262740.63
2023,writ_or_mandate,231,38826773.08,168081.26874458874,17677.60,157395.08,2458481.94,12721056.99
2024,civil_general,1789,95472178.69,53366.22621017328,7429.48,33588.68,891793.94,10000000.00
2024,small_claims,508,2022316.94,3980.9388582677166,2787.00,9590.00,12679.65,12825.00
2024,unlawful_detainer,31,1713325.08,55268.55096774193,12919.22,68849.42,649297.66,866935.05
2024,writ_or_mandate,166,17567808.05,105830.16897590361,20778.17,291518.76,1301027.01,2395439.56
2025,civil_general,1506,76752113.40,50964.2187250996,7682.49,30304.16,981813.63,10368075.42
2025,small_claims,588,2627656.85,4468.804166666667,3076.94,11501.50,12700.65,13761.20
2025,unlawful_detainer,15,620356.38,41357.092,29093.25,82340.32,123756.41,130241.10
2025,writ_or_mandate,312,42159189.80,135125.60833333334,21853.35,171120.86,1868296.43,8433955.08
2026,civil_general,439,26715668.13,60855.73605922551,8755.39,30055.06,328501.11,17402883.21
2026,small_claims,335,1342215.89,4006.6145970149255,2850.00,10767.40,12678.20,12925.00
2026,unlawful_detainer,3,178176.82,59392.27333333333,39043.62,97274.46,110376.39,111832.17
2026,writ_or_mandate,131,19816507.22,151271.04748091602,20962.11,175426.32,3115085.11,5937716.65
