entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,391,355,28,0,28,4,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_plea_advisement_or_not_guilty_procedure,4079,3640,25,0,25,25,0
2006,historical_pre_2000,2.9.1,description,date_filed,small_claims,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,41,30,23,0,23,5,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,1004,889,37,15,22,16,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,vacatur_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,65,61,19,0,19,17,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,probate_order_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,42,37,17,0,17,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.request_to_enter_judgment,164,121,16,0,16,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.proposed_disposition,1545,971,15,0,15,9,0
2006,historical_pre_2000,2.9.1,description,date_filed,writ_or_mandate,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,17,15,15,0,15,15,0
2006,historical_pre_2000,2.9.1,description,date_filed,probate,probate_appointment_order,operative,sfsc.strict_judgment_end_state.probate_fiduciary_appointment_granted_observed,21,20,14,0,14,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,unlawful_detainer,judgment_reference,reference,sfsc.strict_judgment_end_state.audited_judgment_cost_bill,14,7,14,0,14,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,criminal_sentence,operative,sfsc.strict_judgment_end_state.criminal_sentence_minute_order,77,76,13,0,13,7,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_procedural_filing,5095,2153,12,0,12,10,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,judgment_reference,reference,sfsc.strict_judgment_end_state.certificate_or_declaration,2179,1812,13,1,12,1,0
