entry_year,extraction_period,rule_version,source_field,case_model,event_kind,status,rule_id,review_reason_set,no_amount_rows,recorded_only_rows,money_mention_rows,component_amount_rows
2006,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,626,0,0,0
2006,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.calendar_removed_dismissal_filed,,411,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,313,0,0,0
2006,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,105,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_court_orders_cause_dismissed,,68,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_express_motion_to_dismiss_granted,,55,0,0,0
2006,historical_pre_2000,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,48,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,47,0,0,0
2006,historical_pre_2000,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,36,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_guilty_plea_set_aside,,34,0,0,0
2006,legacy_2000_2013,2.9.1,description,writ_or_mandate,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,30,0,0,0
2006,legacy_2000_2013,2.9.1,description,family_multi_order,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,28,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.court_dismissal_order_caption,,27,0,0,0
2006,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,27,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.name_change_decree_entered,,26,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.observed_name_change_order_decree,,25,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,23,0,0,0
2006,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,22,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_express_motion_to_dismiss_granted,,22,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,15,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_guilty_plea_set_aside,,13,0,0,0
2006,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.probate_creditor_claim_dismissed,,13,0,0,0
2006,historical_pre_2000,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,12,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_observed_dismissal_result,,12,0,0,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,11,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.observed_name_change_osc_granted,,9,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.observed_name_change_decree_variants,,9,0,0,0
2006,legacy_2000_2013,2.9.1,description,writ_or_mandate,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,7,0,0,0
2006,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,6,0,0,0
2006,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_court_orders_cause_dismissed,,6,0,0,0
2006,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,5,0,0,0
2006,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.observed_entire_action_dismissal_filed,,4,0,0,0
2006,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,4,0,0,0
2006,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_order_dismissing_action,,3,0,0,0
