original_event_year,case_model,recorded_event_kind,selected_original_events,original_total_count,recorded_amount_but_original_missing_count,no_original_or_recorded_amount_count,recorded_only_median,recorded_only_median_event_year
1992,unlawful_detainer,amended_judgment,34,0,34,0,2664.48,1992.0
1992,civil_general,renewal,33,14,19,0,6303.24,2002.0
1992,unlawful_detainer,possession,26,17,9,0,3610.00,1993.0
1992,small_claims,amended_judgment,498,487,8,3,1483.47,1993.0
1992,unlawful_detainer,monetary_judgment,1,0,1,0,35199.62,1995.0
1992,unlawful_detainer,renewal,2,1,1,0,8508.74,2002.0
1992,appellate_review,dismissal,10,0,0,10,,
1992,civil_general,amended_judgment,3,0,0,3,,
1992,civil_general,declaratory/injunctive,1,0,0,1,,
1992,civil_general,default_judgment,35,0,0,35,,
1992,civil_general,dismissal,5834,0,0,5834,,
1992,civil_general,judgment,403,2,0,401,,
1992,civil_general,judgment_of_dismissal,40,0,0,40,,
1992,civil_general,name_change_decree,265,0,0,265,,
1992,civil_general,possession,1,0,0,1,,
1992,civil_general,take_nothing,1,0,0,1,,
1992,criminal,dismissal,57,0,0,57,,
1992,family_domestic_violence,dismissal,17,0,0,17,,
1992,family_multi_order,amended_judgment,1,0,0,1,,
1992,family_multi_order,default_judgment,1,0,0,1,,
1992,family_multi_order,dismissal,947,0,0,947,,
1992,family_multi_order,judgment,69,0,0,69,,
1992,probate,dismissal,27,0,0,27,,
1992,small_claims,dismissal,1570,6,0,1564,,
1992,small_claims,judgment,2472,0,0,2472,,
1992,small_claims,take_nothing,4,3,0,1,,
1992,unknown,judgment,1,0,0,1,,
1992,unlawful_detainer,dismissal,155,0,0,155,,
1992,unlawful_detainer,judgment,10,0,0,10,,
1992,writ_or_mandate,dismissal,120,0,0,120,,
1992,writ_or_mandate,judgment,66,0,0,66,,
1992,writ_or_mandate,judgment_of_dismissal,1,0,0,1,,
1992,writ_or_mandate,name_change_decree,3,0,0,3,,
1992,writ_or_mandate,renewal,18,18,0,0,,
1993,civil_general,monetary_judgment,2976,2143,827,6,4161.97,1993.0
1993,unlawful_detainer,possession,1570,962,123,485,2200.00,1993.0
1993,unlawful_detainer,amended_judgment,96,0,96,0,2237.08,1993.0
1993,small_claims,monetary_judgment,4921,4845,76,0,867.91,1993.0
1993,civil_general,renewal,153,114,39,0,9730.65,2003.0
1993,small_claims,amended_judgment,457,437,16,4,1005.82,1994.0
1993,civil_general,take_nothing,45,8,6,31,984.73,1993.5
1993,unlawful_detainer,renewal,11,8,3,0,4270.41,2004.0
1993,unlawful_detainer,monetary_judgment,25,21,2,2,4613.00,1993.0
1993,civil_general,amended_judgment,13,10,1,2,2726.25,1993.0
