event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
1994,unknown,unknown_period,description,no_amount_signal,1
1994,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,1
1995,civil_general,historical_pre_2000,description,no_amount_signal,9626
1995,small_claims,historical_pre_2000,description,no_amount_signal,3408
1995,unlawful_detainer,historical_pre_2000,description,no_amount_signal,3309
1995,family_multi_order,historical_pre_2000,description,no_amount_signal,1473
1995,criminal,historical_pre_2000,description,no_amount_signal,1221
1995,writ_or_mandate,historical_pre_2000,description,no_amount_signal,137
1995,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,124
1995,civil_general,historical_pre_2000,description,recognized_money_but_no_total,67
1995,criminal,historical_pre_2000,description,recognized_money_but_no_total,45
1995,probate,historical_pre_2000,description,no_amount_signal,24
1995,family_domestic_violence,historical_pre_2000,description,no_amount_signal,16
1995,appellate_review,historical_pre_2000,description,no_amount_signal,9
1995,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,8
1995,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,7
1995,small_claims,historical_pre_2000,description,recognized_money_but_no_total,7
1995,unknown,unknown_period,description,no_amount_signal,2
1995,criminal,historical_pre_2000,description,explicit_currency_not_recognized,1
1995,criminal,historical_pre_2000,docketEntryComment,recognized_money_but_no_total,1
1995,criminal,unknown_period,description,no_amount_signal,1
1995,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,1
1995,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,1
1996,civil_general,historical_pre_2000,description,no_amount_signal,9555
1996,unlawful_detainer,historical_pre_2000,description,no_amount_signal,4078
1996,small_claims,historical_pre_2000,description,no_amount_signal,3520
1996,criminal,historical_pre_2000,description,no_amount_signal,1727
1996,family_multi_order,historical_pre_2000,description,no_amount_signal,1411
1996,writ_or_mandate,historical_pre_2000,description,no_amount_signal,144
1996,civil_general,historical_pre_2000,description,recognized_money_but_no_total,94
1996,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,75
1996,criminal,historical_pre_2000,description,recognized_money_but_no_total,64
1996,probate,historical_pre_2000,description,no_amount_signal,31
1996,small_claims,historical_pre_2000,description,recognized_money_but_no_total,15
1996,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,10
1996,family_domestic_violence,historical_pre_2000,description,no_amount_signal,8
1996,appellate_review,historical_pre_2000,description,no_amount_signal,5
1996,criminal,historical_pre_2000,description,explicit_currency_not_recognized,3
1996,civil_general,legacy_2000_2013,description,no_amount_signal,2
1996,unknown,unknown_period,description,no_amount_signal,2
1996,family_multi_order,historical_pre_2000,description,recognized_money_but_no_total,1
1996,unknown,historical_pre_2000,description,no_amount_signal,1
1996,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,1
1997,civil_general,historical_pre_2000,description,no_amount_signal,9066
1997,unlawful_detainer,historical_pre_2000,description,no_amount_signal,3434
1997,small_claims,historical_pre_2000,description,no_amount_signal,3265
1997,criminal,historical_pre_2000,description,no_amount_signal,2234
1997,family_multi_order,historical_pre_2000,description,no_amount_signal,1297
1997,writ_or_mandate,historical_pre_2000,description,no_amount_signal,113
1997,criminal,historical_pre_2000,description,recognized_money_but_no_total,96
1997,unlawful_detainer,historical_pre_2000,description,recognized_money_but_no_total,90
1997,civil_general,historical_pre_2000,description,recognized_money_but_no_total,56
1997,probate,historical_pre_2000,description,no_amount_signal,35
1997,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,24
1997,appellate_review,historical_pre_2000,description,no_amount_signal,17
1997,small_claims,historical_pre_2000,description,recognized_money_but_no_total,9
1997,criminal,unknown_period,description,no_amount_signal,8
1997,criminal,historical_pre_2000,description,explicit_currency_not_recognized,5
