event_year,case_model,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary,median_parsed_total
2000,appellate_review,6,0,0,0,0,0,,
2000,civil_general,11232,1804,1767,15,0,0,97.95,3829.89
2000,criminal,1799,18,0,18,0,0,0.0,
2000,family_domestic_violence,20,0,0,0,0,0,,
2000,family_multi_order,161,15,0,11,0,0,0.0,
2000,probate,40,1,0,1,0,0,0.0,
2000,small_claims,4988,2414,2401,11,0,0,99.46,1551.98
2000,unlawful_detainer,3127,517,465,48,0,0,89.94,2223.00
2000,writ_or_mandate,121,3,0,2,0,0,0.0,
2001,appellate_review,6,0,0,0,0,0,,
2001,civil_general,12789,1952,1909,18,0,0,97.8,3493.00
2001,criminal,2016,3,0,3,0,0,0.0,
2001,family_domestic_violence,12,0,0,0,0,0,,
2001,family_multi_order,748,12,1,2,0,0,8.33,4620.00
2001,probate,23,3,0,0,0,0,0.0,
2001,small_claims,4868,2576,2560,13,0,0,99.38,1762.12
2001,unknown,3,0,0,0,0,0,,
2001,unlawful_detainer,3080,442,399,37,0,0,90.27,2496.18
2001,writ_or_mandate,403,312,311,1,0,0,99.68,1382.98
2002,appellate_review,8,0,0,0,0,0,,
2002,civil_general,14769,1476,1435,31,0,0,97.22,14400.00
2002,criminal,2922,4,0,4,0,0,0.0,
2002,family_domestic_violence,15,1,0,0,0,0,0.0,
2002,family_multi_order,235,3,0,1,0,0,0.0,
2002,probate,35,0,0,0,0,0,,
2002,small_claims,4993,2705,2695,10,0,0,99.63,1502.00
2002,unknown,3,0,0,0,0,0,,
2002,unlawful_detainer,3101,509,422,34,0,0,82.91,2524.50
2002,writ_or_mandate,1468,1259,1257,2,0,0,99.84,1654.80
2003,appellate_review,22,0,0,0,0,0,,
2003,civil_general,13235,803,766,31,0,0,95.39,10879.46
2003,criminal,2883,1,0,1,0,0,0.0,
2003,family_domestic_violence,9,0,0,0,0,0,,
2003,family_multi_order,724,3,0,0,0,0,0.0,
2003,probate,32,1,0,1,0,0,0.0,
2003,small_claims,4864,2620,2589,28,0,0,98.82,1562.37
2003,unlawful_detainer,3112,408,381,22,0,0,93.38,2880.00
2003,writ_or_mandate,1273,1077,1072,4,0,0,99.54,1628.73
2004,appellate_review,10,0,0,0,0,0,,
2004,civil_general,12049,670,646,20,0,0,96.42,10509.22
2004,criminal,2814,2,0,1,1,0,0.0,
2004,family_domestic_violence,7,0,0,0,0,0,,
2004,family_multi_order,611,5,0,0,0,0,0.0,
2004,probate,38,1,0,1,0,0,0.0,
2004,small_claims,4234,2429,2347,82,0,0,96.62,1452.00
2004,unlawful_detainer,2559,373,359,11,0,0,96.25,2832.66
