event_year,extraction_period,source_field,selected_original_events,likely_monetary_events,parsed_total_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count,parsed_total_pct_of_likely_monetary
2012,historical_pre_2000,description,29,1,0,0,0,0,0.0
2012,historical_pre_2000,docketEntryComment,1,0,0,0,0,0,
2012,legacy_2000_2013,description,17025,2419,2314,92,4,0,95.66
2012,legacy_2000_2013,docketEntryComment,48,0,0,0,0,0,
2012,unknown_period,description,22,0,0,0,0,0,
2012,unknown_period,docketEntryComment,2,0,0,0,0,0,
2013,historical_pre_2000,description,32,4,0,0,0,0,0.0
2013,legacy_2000_2013,description,16228,2405,2301,88,2,0,95.68
2013,legacy_2000_2013,docketEntryComment,61,1,0,1,0,0,0.0
2013,unknown_period,description,26,0,0,0,0,0,
2013,unknown_period,docketEntryComment,1,0,0,0,0,0,
2014,historical_pre_2000,description,17,7,0,0,0,0,0.0
2014,historical_pre_2000,docketEntryComment,2,0,0,0,0,0,
2014,legacy_2000_2013,description,6714,570,525,31,1,0,92.11
2014,legacy_2000_2013,docketEntryComment,31,1,0,1,0,0,0.0
2014,portal_2014_2020,description,6888,1310,1287,22,0,0,98.24
2014,portal_2014_2020,docketEntryComment,18,0,0,0,0,0,
2014,unknown_period,description,3,0,0,0,0,0,
2014,unknown_period,docketEntryComment,1,0,0,0,0,0,
